Categorie,Actif,Criticite,Vulnerabilite,Exposition,Disponibilite,Sensibilite_donnees,Interdependance
Informationnel,Logs sécuritaires #202,4,5,2,4,2,1
Technologique,Serveur central #203,2,2,3,5,5,5
Technologique,Serveur central #204,2,3,4,3,1,5
Humain,Administrateur réseau #205,4,2,2,3,1,3
Organisationnel,Processus décisionnel #206,3,5,5,4,1,1
Organisationnel,Plan de réponse incident #207,3,3,1,5,3,3
Organisationnel,Plan de réponse incident #208,2,3,1,3,4,2
Informationnel,Base données identité #209,2,3,3,3,4,3
Informationnel,Base état civil #210,3,5,4,5,5,4
Informationnel,Logs sécuritaires #211,2,2,5,5,5,3
Technologique,Réseau WAN #212,5,2,3,2,5,1
Technologique,Réseau WAN #213,5,4,1,4,3,1
Informationnel,Casier judiciaire #214,2,1,5,3,4,3
Technologique,Réseau LAN #215,4,5,3,2,2,1
Humain,Administrateur réseau #216,3,3,5,3,2,4
Technologique,Poste critique #217,2,5,4,4,2,5
Technologique,Réseau WAN #218,2,1,1,5,2,4
Organisationnel,Plan de réponse incident #219,4,3,2,2,2,4
Organisationnel,Plan de réponse incident #220,2,4,4,5,4,2
Organisationnel,Processus décisionnel #221,5,1,4,3,1,2
Technologique,Serveur central #222,3,2,3,3,2,5
Organisationnel,Plan de continuité #223,4,3,4,2,4,5
Humain,Administrateur système #224,3,3,3,3,2,2
Technologique,Serveur territorial #225,2,4,1,4,5,1
Humain,Opérateur SOC #226,2,3,4,5,2,4
Technologique,Réseau WAN #227,4,3,1,3,4,4
Informationnel,Logs sécuritaires #228,4,5,3,5,3,1
Informationnel,Casier judiciaire #229,4,1,2,5,2,5
Humain,Administrateur système #230,2,4,2,4,4,3
Organisationnel,Plan de continuité #231,3,1,1,2,5,3
Technologique,Serveur territorial #232,5,3,5,5,4,5
Organisationnel,Plan de continuité #233,3,3,4,3,1,1
Technologique,Réseau LAN #234,5,4,1,3,1,4
Humain,Opérateur SOC #235,2,2,3,5,5,1
Organisationnel,Plan de réponse incident #236,3,2,3,2,1,1
Organisationnel,Procédure opérationnelle #237,5,3,3,5,1,1
Organisationnel,Procédure opérationnelle #238,3,4,4,2,2,2
Organisationnel,Procédure opérationnelle #239,3,1,1,2,5,1
Informationnel,Archives numériques #240,3,2,2,3,2,2
Humain,Administrateur réseau #241,3,4,1,5,3,5
Humain,Cadre stratégique #242,3,1,1,4,1,2
Organisationnel,Politique sécurité #243,5,4,3,4,3,4
Organisationnel,Plan de continuité #244,3,2,2,4,3,1
Organisationnel,Politique sécurité #245,3,3,2,3,4,4
Informationnel,Base données identité #246,2,3,2,4,4,5
Organisationnel,Plan de réponse incident #247,4,5,3,5,2,2
Humain,Opérateur SOC #248,5,1,3,4,4,2
Humain,Cadre stratégique #249,2,5,1,4,4,1
Technologique,Application métier #250,4,2,5,5,4,5
Organisationnel,Plan de continuité #251,5,4,4,5,2,1
Humain,Administrateur système #252,5,2,5,3,4,2
Humain,Administrateur réseau #253,5,2,3,4,2,5
Organisationnel,Processus décisionnel #254,2,2,5,4,1,3
Technologique,Réseau LAN #255,5,2,4,3,2,5
Informationnel,Logs sécuritaires #256,2,4,5,4,1,4
Technologique,Poste critique #257,2,3,1,2,4,2
Humain,Opérateur SOC #258,2,1,4,5,4,5
Humain,Cadre stratégique #259,3,3,2,2,2,4
Technologique,Serveur central #260,2,5,4,5,3,4
Informationnel,Base données identité #261,5,4,4,2,3,5
Humain,Opérateur SOC #262,5,5,1,2,4,4
Humain,Agent territorial #263,4,5,4,3,2,1
Humain,Opérateur SOC #264,5,2,5,2,3,5
Informationnel,Casier judiciaire #265,2,1,1,4,4,2
Organisationnel,Plan de réponse incident #266,3,3,3,3,2,1
Technologique,Application métier #267,2,3,2,4,4,4
Humain,Opérateur SOC #268,5,2,2,5,2,5
Informationnel,Logs sécuritaires #269,5,5,2,2,2,3
Technologique,Poste critique #270,3,2,1,3,1,4
Humain,Administrateur système #271,3,4,1,2,3,5
Organisationnel,Plan de réponse incident #272,2,2,4,3,2,1
Informationnel,Base données identité #273,2,5,1,2,5,1
Humain,Agent territorial #274,3,5,4,3,3,2
Technologique,Application métier #275,2,3,5,4,1,1
Informationnel,Base données identité #276,5,2,5,4,4,5
Informationnel,Base données identité #277,2,1,3,5,2,3
Humain,Administrateur réseau #278,3,1,3,2,2,2
Technologique,Réseau LAN #279,2,5,2,2,4,5
Technologique,Application métier #280,4,4,4,4,3,2
Organisationnel,Processus décisionnel #281,4,5,5,4,3,5
Organisationnel,Procédure opérationnelle #282,5,3,3,4,4,5
Informationnel,Casier judiciaire #283,3,5,4,5,5,4
Technologique,Réseau WAN #284,2,4,3,5,2,4
Technologique,Serveur territorial #285,3,1,5,5,2,1
Technologique,Réseau WAN #286,4,4,2,4,5,1
Technologique,Application métier #287,3,4,4,5,1,4
Organisationnel,Plan de réponse incident #288,3,3,5,4,5,4
Informationnel,Base état civil #289,2,2,2,2,5,2
Organisationnel,Procédure opérationnelle #290,3,3,5,5,2,3
Organisationnel,Plan de continuité #291,4,2,1,3,3,4
Technologique,Serveur central #292,4,2,5,4,1,3
Organisationnel,Politique sécurité #293,2,5,1,3,5,3
Organisationnel,Processus décisionnel #294,3,1,5,2,1,1
Technologique,Réseau WAN #295,4,5,2,4,2,5
Humain,Administrateur système #296,2,3,4,3,3,4
Technologique,Poste critique #297,3,5,4,5,5,1
Organisationnel,Processus décisionnel #298,2,1,3,3,1,4
Informationnel,Base données identité #299,5,2,4,2,4,3
Organisationnel,Plan de réponse incident #300,5,2,3,3,4,5
Technologique,Réseau WAN #301,3,2,4,3,1,3
Technologique,Poste critique #302,5,4,2,5,5,5
Informationnel,Base données identité #303,4,2,1,4,4,1
Organisationnel,Plan de continuité #304,5,4,3,5,5,4
Humain,Opérateur SOC #305,5,4,1,2,5,4
Technologique,Poste critique #306,3,1,5,5,4,4
Technologique,Application métier #307,3,4,1,4,2,5
Technologique,Serveur central #308,2,2,3,2,1,1
Humain,Cadre stratégique #309,5,2,4,3,3,3
Humain,Agent territorial #310,2,4,2,5,1,2
Technologique,Serveur territorial #311,2,3,2,3,3,4
Technologique,Serveur central #312,4,5,3,3,3,2
Humain,Administrateur réseau #313,3,4,2,5,2,1
Technologique,Serveur central #314,2,1,4,4,1,5
Organisationnel,Processus décisionnel #315,4,1,1,2,5,2
Organisationnel,Plan de réponse incident #316,3,4,1,4,4,5
Organisationnel,Plan de continuité #317,5,4,5,4,4,2
Informationnel,Archives numériques #318,4,5,3,3,2,4
Humain,Cadre stratégique #319,4,3,5,4,2,2
Informationnel,Base état civil #320,3,3,2,2,1,3
Informationnel,Casier judiciaire #321,2,1,4,3,3,4
Informationnel,Archives numériques #322,5,1,5,4,4,4
Informationnel,Archives numériques #323,5,4,2,4,5,4
Humain,Opérateur SOC #324,4,3,4,3,5,5
Technologique,Application métier #325,3,2,3,2,5,2
Humain,Administrateur réseau #326,5,5,1,2,5,2
Technologique,Application métier #327,2,5,2,2,5,4
Informationnel,Casier judiciaire #328,2,4,3,4,5,4
Organisationnel,Plan de réponse incident #329,3,4,2,5,4,2
Organisationnel,Processus décisionnel #330,2,5,4,2,2,5
Technologique,Application métier #331,2,1,1,5,1,1
Informationnel,Base état civil #332,5,5,1,3,2,2
Organisationnel,Plan de continuité #333,5,5,4,4,2,3
Technologique,Serveur central #334,4,1,4,4,5,3
Informationnel,Archives numériques #335,2,5,5,5,1,3
Informationnel,Logs sécuritaires #336,4,3,1,2,4,5
Organisationnel,Politique sécurité #337,4,4,3,5,3,3
Organisationnel,Processus décisionnel #338,4,2,5,2,2,4
Informationnel,Base données identité #339,2,2,2,4,1,4
Technologique,Réseau LAN #340,3,1,1,2,2,2
Technologique,Application métier #341,5,4,3,5,2,5
Informationnel,Archives numériques #342,3,3,2,4,1,2
Humain,Administrateur système #343,2,3,4,3,1,2
Technologique,Réseau LAN #344,3,4,5,5,3,1
Organisationnel,Plan de réponse incident #345,4,2,1,5,1,2
Informationnel,Logs sécuritaires #346,3,5,4,5,3,3
Informationnel,Archives numériques #347,2,5,2,3,5,5
Humain,Agent territorial #348,4,2,3,4,4,5
Technologique,Réseau WAN #349,2,5,1,5,3,3
Humain,Opérateur SOC #350,3,4,1,5,5,2
Technologique,Serveur central #351,5,5,3,2,4,3
Organisationnel,Politique sécurité #352,3,3,1,3,5,3
Humain,Administrateur réseau #353,2,5,1,5,4,2
Technologique,Serveur territorial #354,3,4,1,3,1,2
Informationnel,Base données identité #355,5,3,3,4,3,5
Technologique,Réseau LAN #356,4,5,4,5,2,3
Technologique,Application métier #357,3,5,5,3,4,4
Informationnel,Logs sécuritaires #358,5,1,4,2,3,5
Organisationnel,Politique sécurité #359,4,4,4,5,2,2
Humain,Agent territorial #360,5,3,1,4,3,5
Organisationnel,Politique sécurité #361,3,5,4,5,3,5
Organisationnel,Procédure opérationnelle #362,4,1,2,4,4,1
Humain,Agent territorial #363,4,3,1,5,5,1
Informationnel,Archives numériques #364,5,3,4,4,1,2
Organisationnel,Plan de réponse incident #365,2,4,5,3,2,3
Informationnel,Casier judiciaire #366,2,5,1,4,5,3
Informationnel,Casier judiciaire #367,3,3,2,4,5,5
Organisationnel,Plan de réponse incident #368,5,1,5,3,5,4
Technologique,Serveur territorial #369,5,2,3,2,1,4
Technologique,Serveur central #370,3,4,4,5,1,4
Organisationnel,Procédure opérationnelle #371,5,5,4,3,4,3
Humain,Agent territorial #372,3,2,2,2,5,4
Informationnel,Logs sécuritaires #373,5,3,4,3,2,3
Informationnel,Logs sécuritaires #374,5,2,1,4,2,3
Organisationnel,Plan de réponse incident #375,3,2,4,5,1,5
Technologique,Application métier #376,3,5,3,4,2,5
Organisationnel,Procédure opérationnelle #377,4,3,1,2,4,1
Informationnel,Base données identité #378,2,2,5,5,2,1
Humain,Administrateur système #379,2,5,5,3,4,2
Humain,Administrateur système #380,4,1,1,3,2,1
Technologique,Application métier #381,2,2,1,3,2,2
Organisationnel,Processus décisionnel #382,2,4,4,4,2,3
Organisationnel,Processus décisionnel #383,4,1,5,5,2,4
Technologique,Réseau LAN #384,3,5,4,5,3,5
Informationnel,Base état civil #385,5,2,1,4,2,1
Organisationnel,Processus décisionnel #386,5,4,1,3,4,3
Technologique,Réseau LAN #387,4,1,3,3,3,3
Informationnel,Casier judiciaire #388,4,4,2,5,4,4
Informationnel,Archives numériques #389,2,5,1,4,2,2
Organisationnel,Plan de continuité #390,3,4,2,4,3,5
Humain,Cadre stratégique #391,3,3,1,5,1,5
Organisationnel,Plan de continuité #392,5,3,5,5,3,1
Organisationnel,Processus décisionnel #393,3,1,5,4,5,5
Technologique,Application métier #394,3,4,4,3,2,3
Humain,Cadre stratégique #395,2,1,3,2,4,1
Organisationnel,Politique sécurité #396,3,5,3,2,4,5
Informationnel,Archives numériques #397,3,2,3,5,4,1
Humain,Administrateur réseau #398,4,4,4,2,5,2
Technologique,Réseau WAN #399,5,4,2,5,5,4
Organisationnel,Politique sécurité #400,3,1,5,4,4,2
Informationnel,Casier judiciaire #401,4,2,2,4,1,1
Informationnel,Archives numériques #402,4,3,3,2,4,5
Organisationnel,Politique sécurité #403,3,3,4,4,1,4
Organisationnel,Procédure opérationnelle #404,5,3,4,3,1,5
Humain,Administrateur système #405,2,5,4,3,4,4
Informationnel,Base données identité #406,4,4,5,4,2,3
Informationnel,Casier judiciaire #407,4,3,3,3,4,5
Organisationnel,Processus décisionnel #408,4,3,4,2,1,2
Technologique,Poste critique #409,5,1,3,3,3,3
Technologique,Réseau WAN #410,2,4,4,2,1,3
Organisationnel,Procédure opérationnelle #411,5,3,4,3,5,5
Organisationnel,Procédure opérationnelle #412,3,1,1,5,4,1
Technologique,Réseau WAN #413,2,3,1,4,1,4
Humain,Agent territorial #414,5,2,1,2,1,5
Technologique,Serveur central #415,5,4,3,4,2,5
Humain,Opérateur SOC #416,2,4,5,4,4,1
Informationnel,Logs sécuritaires #417,2,5,1,5,3,1
Technologique,Serveur central #418,5,5,4,3,4,1
Humain,Administrateur réseau #419,5,5,5,4,4,1
Informationnel,Casier judiciaire #420,5,4,4,5,4,5
Humain,Agent territorial #421,3,2,3,4,1,1
Organisationnel,Procédure opérationnelle #422,3,1,5,5,2,3
Organisationnel,Processus décisionnel #423,5,2,1,2,5,5
Informationnel,Casier judiciaire #424,5,3,5,5,1,5
Informationnel,Base données identité #425,3,1,3,5,4,1
Technologique,Application métier #426,2,1,2,4,1,1
Organisationnel,Plan de réponse incident #427,2,1,1,5,5,3
Humain,Administrateur système #428,4,5,3,3,3,3
Informationnel,Logs sécuritaires #429,2,4,3,5,5,5
Informationnel,Archives numériques #430,2,1,5,3,4,2
Informationnel,Base données identité #431,4,5,1,4,4,2
Technologique,Serveur territorial #432,5,1,4,3,5,3
Humain,Agent territorial #433,5,4,1,2,4,2
Humain,Administrateur système #434,4,2,5,2,2,2
Humain,Cadre stratégique #435,2,2,2,4,1,1
Humain,Agent territorial #436,4,4,3,2,2,5
Technologique,Réseau WAN #437,5,2,1,2,4,3
Humain,Administrateur système #438,4,5,2,2,5,1
Humain,Administrateur système #439,4,1,4,2,3,2
Organisationnel,Processus décisionnel #440,2,1,5,3,2,4
Organisationnel,Politique sécurité #441,5,3,3,5,4,1
Humain,Cadre stratégique #442,5,2,3,2,4,4
Informationnel,Base état civil #443,5,4,5,4,4,5
Organisationnel,Procédure opérationnelle #444,2,4,3,2,2,4
Technologique,Réseau LAN #445,4,3,3,3,3,1
Informationnel,Logs sécuritaires #446,5,2,4,5,4,1
Humain,Agent territorial #447,2,5,2,2,3,3
Humain,Opérateur SOC #448,5,2,3,3,3,3
Technologique,Réseau WAN #449,3,3,5,4,5,2
Informationnel,Base état civil #450,2,5,2,5,5,3
Humain,Agent territorial #451,3,4,1,2,5,5
Humain,Agent territorial #452,2,5,4,2,5,1
Informationnel,Logs sécuritaires #453,3,5,5,4,3,3
Technologique,Serveur territorial #454,5,5,3,3,1,5
Technologique,Réseau LAN #455,2,4,3,4,4,3
Informationnel,Archives numériques #456,4,5,3,2,2,3
Organisationnel,Processus décisionnel #457,2,1,3,5,2,1
Organisationnel,Politique sécurité #458,4,5,5,5,4,5
Informationnel,Logs sécuritaires #459,5,3,3,2,2,3
Technologique,Application métier #460,4,4,5,3,3,4
Informationnel,Base données identité #461,5,4,1,3,2,4
Technologique,Serveur central #462,4,3,2,5,4,4
Organisationnel,Politique sécurité #463,5,3,1,3,3,3
Organisationnel,Procédure opérationnelle #464,4,2,1,4,5,3
Technologique,Réseau LAN #465,4,4,5,4,1,4
Informationnel,Base données identité #466,2,1,1,5,3,3
Humain,Opérateur SOC #467,2,5,2,5,5,3
Humain,Administrateur réseau #468,3,5,4,3,1,3
Organisationnel,Procédure opérationnelle #469,3,3,3,3,2,1
Organisationnel,Processus décisionnel #470,2,4,1,2,1,5
Informationnel,Logs sécuritaires #471,5,1,1,5,3,2
Humain,Administrateur système #472,3,4,3,4,3,4
Informationnel,Logs sécuritaires #473,5,2,5,2,3,3
Technologique,Serveur territorial #474,5,1,2,3,4,4
Technologique,Serveur territorial #475,3,5,4,3,3,3
Technologique,Application métier #476,4,5,1,2,1,5
Informationnel,Logs sécuritaires #477,4,5,3,2,1,1
Humain,Administrateur réseau #478,3,4,4,5,2,2
Organisationnel,Plan de continuité #479,2,4,5,4,2,4
Humain,Administrateur réseau #480,3,2,3,2,4,1
Humain,Administrateur système #481,4,1,2,2,2,2
Organisationnel,Procédure opérationnelle #482,4,2,1,3,5,4
Informationnel,Logs sécuritaires #483,5,3,1,2,3,3
Informationnel,Casier judiciaire #484,3,4,4,5,2,3
Informationnel,Casier judiciaire #485,2,4,3,2,1,2
Humain,Administrateur réseau #486,2,1,4,4,1,2
Humain,Opérateur SOC #487,2,3,5,2,1,4
Humain,Administrateur système #488,5,1,1,2,4,3
Humain,Agent territorial #489,2,2,1,2,4,1
Humain,Administrateur réseau #490,5,3,4,2,4,1
Informationnel,Base état civil #491,2,5,4,4,2,1
Informationnel,Casier judiciaire #492,3,1,4,2,5,5
Technologique,Serveur central #493,5,4,2,4,4,4
Organisationnel,Plan de réponse incident #494,5,1,4,2,4,3
Humain,Opérateur SOC #495,2,1,2,2,4,5
Technologique,Poste critique #496,2,5,2,3,1,4
Technologique,Serveur territorial #497,4,1,3,4,1,4
Technologique,Réseau LAN #498,5,5,3,2,4,2
Organisationnel,Politique sécurité #499,3,1,4,4,4,1
Organisationnel,Plan de continuité #500,3,4,3,3,5,2
Humain,Administrateur système #501,3,5,5,2,1,2
Humain,Agent territorial #502,2,4,3,2,4,5
Humain,Agent territorial #503,4,3,1,5,3,1
Humain,Administrateur système #504,5,5,3,5,3,5
Informationnel,Logs sécuritaires #505,3,2,4,2,4,4
Technologique,Réseau LAN #506,3,1,5,5,4,2
Humain,Agent territorial #507,3,1,1,4,2,4
